,Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS 4 quý,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA
Năm 2007,"536,158","50,096","5,070","5,652","5,652","232,906","323,262","219,354","210,705","103,908","1,125.00","20,170.00",,1.05,10.88,3.50
Năm 2008,"416,875","56,684","1,139","2,700","2,700","219,280","308,945","208,960","201,634","99,985",538.00,"19,546.00",,0.65,2.65,0.85
Năm 2009,"496,422","60,183","2,390","8,082","8,082","234,234","326,380","221,833","217,551","104,547","1,609.00","20,537.00",,1.63,7.90,2.54
Năm 2010,"488,834","57,337","4,731","3,768","3,768","195,510","289,791","187,556","182,099","102,235",750.00,"20,146.00",,0.77,3.64,1.22
Năm 2011,"587,095","72,708","6,823","5,393","5,393","248,510","337,405","233,007","230,629","104,398","1,073.00","20,628.00",,0.92,5.22,1.72
Năm 2012,"526,691","81,336","6,268","4,713","4,713","256,335","336,752","232,969","232,969","103,783",750.00,"16,431.00",,0.89,4.53,1.40
Năm 2013,"540,842","113,319","11,323","8,216","8,216","267,978","342,563","237,093","236,904","105,470","1,308.00","16,739.00",,1.52,7.85,2.42
Năm 2014,"596,063","149,226","14,195","11,304","11,304","310,807","384,559","276,019","275,942","108,540","1,800.00","17,261.00",,1.90,10.56,3.11
Năm 2015,"754,908","169,705","18,763","14,411","14,411","394,744","466,624","353,321","353,067","113,303","2,295.00","17,994.00",,1.91,12.99,3.39
Năm 2016,"971,796","222,094","22,274","17,937","17,937","516,287","587,465","467,708","467,708","119,757","2,856.00","18,900.00",,1.85,15.39,3.40
Năm 2017,"944,352","196,960","50,109","41,796","41,796","483,369","551,050","404,237","404,237","146,814","6,655.00","23,329.00",0,4.43,31.36,7.34
Năm 2018,"774,949","164,400","46,646","39,682","39,682","462,547","529,423","384,176","382,305","145,247","6,319.00","23,116.00",0,5.12,27.17,7.35
Năm 2019,"728,471","171,120","44,983","35,897","35,897","467,566","569,066","400,101","398,940","168,965","5,716.00","26,896.00",0,4.93,22.85,6.54
Năm 2020,"521,391","116,872","26,193","24,422","24,422","412,350","522,852","341,058","341,058","181,794","3,893.00","28,941.00",10.02,4.68,13.93,4.47
Năm 2021,"343,917","67,878","8,031","3,620","3,620","344,465","500,527","334,875","334,875","165,653",576.00,"26,375.00",51.88,1.05,2.08,0.71
Năm 2022,"401,051","78,416","7,444","6,022","6,022","456,514","697,887","376,229","376,229","321,658",550.00,"25,919.00",38.21,1.50,2.47,1.00
Năm 2023,"402,741","83,078","15,322","11,744","11,744","344,479","598,854","271,657","271,657","327,197",946.00,"26,366.00",28.53,2.92,3.62,1.81
Năm 2024,"443,136","92,561","18,506","15,247","15,247","253,081","503,755","172,892","172,892","330,863","1,229.00","26,661.00",21.16,3.44,4.63,2.77
